al;10;ua;Tele
am;10;ua;Tele
au;12;ua;Tele
at;12;ua;Tele
az;12;ua;Tele
be;12;ua;Tele
bg;12;ua;Tele
hr;10;ua;Tele
cy;12;ua;Tele
cz;12;ua;Tele
dk;12;ua;Tele
ee;12;ua;Tele
fi;12;ua;Tele
fr;12;ua;Tele
ge;12;ua;Tele
de;12;ua;Tele
gr;10;ua;Tele
is;12;ua;Tele
ie;12;ua;Tele
il;12;ua;Tele
it;12;ua;Tele
lv;12;ua;Tele
lt;12;ua;Tele
mt;8;ua;Tele
md;12;ua;Tele
me;10;ua;Tele
nl;12;ua;Tele
mk;8;ua;Tele
no;12;ua;Tele
pl;12;ua;Tele
pt;12;ua;Tele
ro;10;ua;Tele
sm;12;ua;Tele
rs;7;ua;Tele
si;10;ua;Tele
es;12;ua;Tele
se;12;ua;Tele
ch;10;ua;Tele
ua;;ua;Tele
gb;12;ua;Tele
al;1;md;Tele
am;5;md;Tele
au;4;md;Tele
at;7;md;Tele
az;;md;Tele
be;8;md;Tele
bg;7;md;Tele
hr;8;md;Tele
cy;;md;Tele
cz;8;md;Tele
dk;5;md;Tele
ee;6;md;Tele
fi;5;md;Tele
fr;10;md;Tele
ge;8;md;Tele
de;10;md;Tele
gr;3;md;Tele
is;6;md;Tele
ie;7;md;Tele
il;6;md;Tele
it;10;md;Tele
lv;7;md;Tele
lt;5;md;Tele
mt;;md;Tele
md;;md;Tele
me;7;md;Tele
nl;10;md;Tele
mk;7;md;Tele
no;4;md;Tele
pl;7;md;Tele
pt;8;md;Tele
ro;12;md;Tele
sm;4;md;Tele
rs;12;md;Tele
si;7;md;Tele
es;7;md;Tele
se;;md;Tele
ch;4;md;Tele
ua;6;md;Tele
gb;8;md;Tele
al;7;es;Tele
am;8;es;Tele
au;6;es;Tele
at;1;es;Tele
az;10;es;Tele
be;6;es;Tele
bg;8;es;Tele
hr;7;es;Tele
cy;8;es;Tele
cz;6;es;Tele
dk;1;es;Tele
ee;1;es;Tele
fi;3;es;Tele
fr;7;es;Tele
ge;6;es;Tele
de;2;es;Tele
gr;12;es;Tele
is;3;es;Tele
ie;5;es;Tele
il;8;es;Tele
it;;es;Tele
lv;4;es;Tele
lt;6;es;Tele
mt;7;es;Tele
md;8;es;Tele
me;8;es;Tele
nl;7;es;Tele
mk;10;es;Tele
no;1;es;Tele
pl;6;es;Tele
pt;10;es;Tele
ro;8;es;Tele
sm;10;es;Tele
rs;10;es;Tele
si;4;es;Tele
es;;es;Tele
se;2;es;Tele
ch;6;es;Tele
ua;1;es;Tele
gb;5;es;Tele
al;3;rs;Tele
am;6;rs;Tele
au;8;rs;Tele
at;10;rs;Tele
az;6;rs;Tele
be;2;rs;Tele
bg;10;rs;Tele
hr;12;rs;Tele
cy;7;rs;Tele
cz;10;rs;Tele
dk;;rs;Tele
ee;;rs;Tele
fi;7;rs;Tele
fr;8;rs;Tele
ge;7;rs;Tele
de;7;rs;Tele
gr;8;rs;Tele
is;1;rs;Tele
ie;1;rs;Tele
il;7;rs;Tele
it;7;rs;Tele
lv;2;rs;Tele
lt;;rs;Tele
mt;6;rs;Tele
md;;rs;Tele
me;12;rs;Tele
nl;3;rs;Tele
mk;12;rs;Tele
no;3;rs;Tele
pl;5;rs;Tele
pt;5;rs;Tele
ro;7;rs;Tele
sm;8;rs;Tele
rs;;rs;Tele
si;12;rs;Tele
es;2;rs;Tele
se;8;rs;Tele
ch;12;rs;Tele
ua;;rs;Tele
gb;1;rs;Tele
al;4;gb;Tele
am;1;gb;Tele
au;7;gb;Tele
at;8;gb;Tele
az;8;gb;Tele
be;3;gb;Tele
bg;3;gb;Tele
hr;;gb;Tele
cy;6;gb;Tele
cz;2;gb;Tele
dk;6;gb;Tele
ee;5;gb;Tele
fi;4;gb;Tele
fr;2;gb;Tele
ge;4;gb;Tele
de;6;gb;Tele
gr;5;gb;Tele
is;7;gb;Tele
ie;6;gb;Tele
il;10;gb;Tele
it;6;gb;Tele
lv;3;gb;Tele
lt;4;gb;Tele
mt;12;gb;Tele
md;3;gb;Tele
me;;gb;Tele
nl;8;gb;Tele
mk;;gb;Tele
no;6;gb;Tele
pl;3;gb;Tele
pt;6;gb;Tele
ro;3;gb;Tele
sm;6;gb;Tele
rs;;gb;Tele
si;;gb;Tele
es;8;gb;Tele
se;6;gb;Tele
ch;5;gb;Tele
ua;7;gb;Tele
gb;;gb;Tele
al;;se;Tele
am;7;se;Tele
au;5;se;Tele
at;6;se;Tele
az;4;se;Tele
be;5;se;Tele
bg;;se;Tele
hr;4;se;Tele
cy;;se;Tele
cz;5;se;Tele
dk;10;se;Tele
ee;10;se;Tele
fi;8;se;Tele
fr;;se;Tele
ge;;se;Tele
de;5;se;Tele
gr;4;se;Tele
is;8;se;Tele
ie;3;se;Tele
il;5;se;Tele
it;5;se;Tele
lv;6;se;Tele
lt;10;se;Tele
mt;5;se;Tele
md;5;se;Tele
me;1;se;Tele
nl;2;se;Tele
mk;4;se;Tele
no;8;se;Tele
pl;10;se;Tele
pt;7;se;Tele
ro;6;se;Tele
sm;3;se;Tele
rs;1;se;Tele
si;5;se;Tele
es;6;se;Tele
se;;se;Tele
ch;3;se;Tele
ua;;se;Tele
gb;4;se;Tele
al;;no;Tele
